State,Year,Gender,Total
Jammu & Kashmir,2007,Male,765
Jammu & Kashmir,2008,Female,665
Jammu & Kashmir,2008,Male,882
Jammu & Kashmir,2009,Female,765
Jammu & Kashmir,2009,Male,837
Jammu & Kashmir,2010,Female,685
Jammu & Kashmir,2010,Male,610
Jammu & Kashmir,2011,Female,713
Jammu & Kashmir,2011,Male,719
Jammu & Kashmir,2012,Female,1110
Jammu & Kashmir,2012,Male,960
Jharkhand,2001,Female,545
Jharkhand,2001,Male,705
Jharkhand,2002,Female,595
Jharkhand,2002,Male,765
Jharkhand,2003,Female,595
Jharkhand,2003,Male,765
Jharkhand,2004,Female,920
Jharkhand,2004,Male,1165
Jharkhand,2005,Female,1425
Jharkhand,2005,Male,2615
Jharkhand,2006,Female,1675
Jharkhand,2006,Male,2605
Jharkhand,2007,Female,2027
Jharkhand,2007,Male,4400
Jharkhand,2008,Female,1545
Jharkhand,2008,Male,3010
Jharkhand,2009,Female,1830
Jharkhand,2009,Male,3720
Jharkhand,2010,Female,2185
Jharkhand,2010,Male,3973
Jharkhand,2011,Female,1935
Jharkhand,2011,Male,4125
Jharkhand,2012,Female,2405
Jharkhand,2012,Male,4190
Karnataka,2001,Female,20050
Karnataka,2001,Male,39355
Karnataka,2002,Female,20950
Karnataka,2002,Male,40400
Karnataka,2003,Female,19930
Karnataka,2003,Male,41875
Karnataka,2004,Female,19595
Karnataka,2004,Male,40090
Karnataka,2005,Female,19250
Karnataka,2005,Male,38535
Karnataka,2006,Female,20820
Karnataka,2006,Male,40240
Karnataka,2007,Female,19560
Karnataka,2007,Male,41960
Karnataka,2008,Female,20030
Karnataka,2008,Male,41080
Karnataka,2009,Female,19930
Karnataka,2009,Male,41045
Karnataka,2010,Female,21220
Karnataka,2010,Male,42035
Karnataka,2011,Female,20750
Karnataka,2011,Male,42360
Karnataka,2012,Female,20785
Karnataka,2012,Male,42980
Kerala,2001,Female,13925
Kerala,2001,Male,33935
Kerala,2002,Female,13225
Kerala,2002,Male,35825
Kerala,2003,Female,12515
Kerala,2003,Male,34675
Kerala,2004,Female,12275
Kerala,2004,Male,32990
Kerala,2005,Female,12070
Kerala,2005,Male,34150
Kerala,2006,Female,12215
Kerala,2006,Male,32915
Kerala,2007,Female,11870
Kerala,2007,Male,32940
Kerala,2008,Female,12195
Kerala,2008,Male,30650
Kerala,2009,Female,12165
Kerala,2009,Male,31610
Kerala,2010,Female,11200
Kerala,2010,Male,31730
Kerala,2011,Female,11093
Kerala,2011,Male,30328
Kerala,2012,Female,10405
Kerala,2012,Male,32045
Lakshadweep,2001,Female,0
Lakshadweep,2001,Male,0
Lakshadweep,2002,Female,0
Lakshadweep,2002,Male,0
Lakshadweep,2003,Female,5
Lakshadweep,2003,Male,5
Lakshadweep,2004,Female,0
Lakshadweep,2004,Male,0
Lakshadweep,2005,Female,0
Lakshadweep,2005,Male,0
Lakshadweep,2006,Female,5
Lakshadweep,2006,Male,5
Lakshadweep,2007,Female,10
Lakshadweep,2007,Male,5
Lakshadweep,2008,Female,0
Lakshadweep,2008,Male,0
Lakshadweep,2009,Female,5
Lakshadweep,2009,Male,0
Lakshadweep,2010,Female,5
Lakshadweep,2010,Male,0
Lakshadweep,2011,Female,0
Lakshadweep,2011,Male,0
Lakshadweep,2012,Female,0
Lakshadweep,2012,Male,5
Madhya Pradesh,2001,Female,16620
Madhya Pradesh,2001,Male,17680
Madhya Pradesh,2002,Female,16600
Madhya Pradesh,2002,Male,17895
Madhya Pradesh,2003,Female,16120
Madhya Pradesh,2003,Male,17690
Madhya Pradesh,2004,Female,15805
Madhya Pradesh,2004,Male,18170
Madhya Pradesh,2005,Female,12985
Madhya Pradesh,2005,Male,14255
Madhya Pradesh,2006,Female,14660
Madhya Pradesh,2006,Male,17515
Madhya Pradesh,2007,Female,14295
Madhya Pradesh,2007,Male,17350
Madhya Pradesh,2008,Female,16320
Madhya Pradesh,2008,Male,21825
Madhya Pradesh,2009,Female,20065
Madhya Pradesh,2009,Male,25500
Madhya Pradesh,2010,Female,19580
Madhya Pradesh,2010,Male,25435
Madhya Pradesh,2011,Female,20095
Madhya Pradesh,2011,Male,26200
Madhya Pradesh,2012,Female,20005
Madhya Pradesh,2012,Male,28870
Maharashtra,2001,Female,26400
Maharashtra,2001,Male,46690
Maharashtra,2002,Female,25410
Maharashtra,2002,Male,47235
Maharashtra,2003,Female,24750
Maharashtra,2003,Male,49050
Maharashtra,2004,Female,24130
Maharashtra,2004,Male,49515
Maharashtra,2005,Female,24115
Maharashtra,2005,Male,48015
Maharashtra,2006,Female,24920
Maharashtra,2006,Male,52550
Maharashtra,2007,Female,23820
Maharashtra,2007,Male,52100
Maharashtra,2008,Female,22425
Maharashtra,2008,Male,49445
Maharashtra,2009,Female,22575
Maharashtra,2009,Male,48925
Maharashtra,2010,Female,25290
Maharashtra,2010,Male,54290
Maharashtra,2011,Female,25300
Maharashtra,2011,Male,54435
Maharashtra,2012,Female,24040
Maharashtra,2012,Male,56520
Manipur,2001,Female,85
Manipur,2001,Male,120
Manipur,2002,Female,45
Manipur,2002,Male,150
Manipur,2003,Female,25
Manipur,2003,Male,105
Manipur,2004,Female,45
Manipur,2004,Male,159
Manipur,2005,Female,20
Manipur,2005,Male,114
Manipur,2006,Female,60
Manipur,2006,Male,120
Manipur,2007,Female,55
Manipur,2007,Male,140
Manipur,2008,Female,55
Manipur,2008,Male,115
Manipur,2009,Female,44
Manipur,2009,Male,90
Manipur,2010,Female,65
Manipur,2010,Male,120
Manipur,2011,Female,75
Manipur,2011,Male,90
Manipur,2012,Female,90
Manipur,2012,Male,115
Meghalaya,2001,Female,90
Meghalaya,2001,Male,345
Meghalaya,2002,Female,90
Meghalaya,2002,Male,242
Meghalaya,2003,Female,45
Meghalaya,2003,Male,160
Meghalaya,2004,Female,80
Meghalaya,2004,Male,195
Meghalaya,2005,Female,105
Meghalaya,2005,Male,250
Meghalaya,2006,Female,115
Meghalaya,2006,Male,344
Meghalaya,2007,Female,135
Meghalaya,2007,Male,300
Meghalaya,2008,Female,139
Meghalaya,2008,Male,285
Meghalaya,2009,Female,222
Meghalaya,2009,Male,335
Meghalaya,2010,Female,138
Meghalaya,2010,Male,399
Meghalaya,2011,Female,209
Meghalaya,2011,Male,552
Meghalaya,2012,Female,190
Meghalaya,2012,Male,450
Mizoram,2001,Female,40
Mizoram,2001,Male,230
Mizoram,2002,Female,50
Mizoram,2002,Male,280
Mizoram,2003,Female,55
Mizoram,2003,Male,205
Mizoram,2004,Female,35
Mizoram,2004,Male,265
Mizoram,2005,Female,40
Mizoram,2005,Male,235
Mizoram,2006,Female,50
Mizoram,2006,Male,298
Mizoram,2007,Female,30
Mizoram,2007,Male,110
Mizoram,2008,Female,30
Mizoram,2008,Male,175
Mizoram,2009,Female,35
Mizoram,2009,Male,304
Mizoram,2010,Female,45
Mizoram,2010,Male,335
Mizoram,2011,Female,65
Mizoram,2011,Male,385
Mizoram,2012,Female,80
Mizoram,2012,Male,777
Nagaland,2001,Female,75
Nagaland,2001,Male,125
Nagaland,2002,Female,40
Nagaland,2002,Male,95
Nagaland,2003,Female,25
Nagaland,2003,Male,84
Nagaland,2004,Female,30
Nagaland,2004,Male,125
Nagaland,2005,Female,30
Nagaland,2005,Male,105
Nagaland,2006,Female,45
Nagaland,2006,Male,95
Nagaland,2007,Female,34
Nagaland,2007,Male,82
Nagaland,2008,Female,50
Nagaland,2008,Male,160
Nagaland,2009,Female,29
Nagaland,2009,Male,124
Nagaland,2010,Female,5
Nagaland,2010,Male,55
Nagaland,2011,Female,40
Nagaland,2011,Male,125
Nagaland,2012,Female,30
Nagaland,2012,Male,120
Odisha,2001,Female,9815
Odisha,2001,Male,10439
Odisha,2002,Female,8785
Odisha,2002,Male,13155
Odisha,2003,Female,8400
Odisha,2003,Male,13700
Odisha,2004,Female,8355
Odisha,2004,Male,12720
Odisha,2005,Female,8270
Odisha,2005,Male,12770
Odisha,2006,Female,8460
Odisha,2006,Male,11865
Odisha,2007,Female,9100
Odisha,2007,Male,12440
Odisha,2008,Female,8745
Odisha,2008,Male,15775
Odisha,2009,Female,8990
Odisha,2009,Male,12835
Odisha,2010,Female,9125
Odisha,2010,Male,12150
Odisha,2011,Female,10905
Odisha,2011,Male,15300
Odisha,2012,Female,10655
Odisha,2012,Male,14480
Puducherry,2001,Female,1030
Puducherry,2001,Male,1615
Puducherry,2002,Female,785
Puducherry,2002,Male,2050
Puducherry,2003,Female,970
Puducherry,2003,Male,1940
Puducherry,2004,Female,1004
Puducherry,2004,Male,1690
Puducherry,2005,Female,990
Puducherry,2005,Male,1700
Puducherry,2006,Female,885
Puducherry,2006,Male,1745
Puducherry,2007,Female,990
Puducherry,2007,Male,1595
Puducherry,2008,Female,865
Puducherry,2008,Male,1670
Puducherry,2009,Female,960
Puducherry,2009,Male,1630
Puducherry,2010,Female,875
Puducherry,2010,Male,1665
Puducherry,2011,Female,805
Puducherry,2011,Male,1980
Puducherry,2012,Female,845
Puducherry,2012,Male,1860
Punjab,2001,Female,1260
Punjab,2001,Male,1980
Punjab,2002,Female,550
Punjab,2002,Male,1985
Punjab,2003,Female,625
Punjab,2003,Male,2530
Punjab,2004,Female,645
Punjab,2004,Male,2580
Punjab,2005,Female,530
Punjab,2005,Male,2410
Punjab,2006,Female,810
Punjab,2006,Male,3050
Punjab,2007,Female,1075
Punjab,2007,Male,3160
Punjab,2008,Female,1130
